ID_Cliente,Razon_Social,Delegacion_Municipio,Giro_Empresa,Num_Empleados,Ingresos_Anuales,Fecha_Alta,Email_Contacto,Telefono
1042,Industrias Solorio-Roldán Integral,Tlalpan,Finanzas,494,18948347,2021-11-07,dvargas@zavala.com,06152040676
1043,"Montoya, Garrido y Corona Integral",Iztapalapa,Logística,456,20853914,2019-09-04,lucioana-luisa@club.org,+54(1)5761556150
1044,"Magaña, Sánchez y Carrillo y Asociados",Cuauhtémoc,Logística,396,24992422,2018-09-18,juliovillalpando@guillen.biz,(426)351-1182x2453
1045,Cruz-Arenas MX,Cuauhtémoc,Construcción,214,23038074,2019-04-20,yuridia05@sepulveda.com,1-855-633-6437x682
1046,Corporacin Serrano-Razo MX,Iztapalapa,Finanzas,470,17866963,2021-02-07,alfredo71@magana.net,(648)714-4143x26953
1047,"Fernández, Rivero y Ulibarri y Asociados",Benito Juárez,Seguros,125,2648352,2024-10-29,angelica12@grupo.org,(280)550-8871x053
1048,Sauceda y Pichardo S.A. Express,Benito Juárez,Manufactura,293,8221369,2013-06-04,colivo@proyectos.com,1-308-626-9855x1214
1049,Proyectos Rocha y Cornejo Latinoamérica,Cuauhtémoc,Tecnología,46,24251200,2024-03-12,qde-la-fuente@club.net,01319710588
1050,Sarabia-Patiño S.C. MX,Benito Juárez,Seguros,44,1554043,2015-12-15,bmayorga@proyectos.com,01989751690
1051,Aparicio-Castañeda Express,Benito Juárez,Logística,131,9844146,2024-04-16,agurule@cadena.com,267-430-3919x0085
1052,Escamilla-Parra MX,Coyoacán,Seguros,286,4939648,2015-03-15,soledadarce@farias.com,1-673-825-4358x63153
1053,"Grupo Blanco, Carrillo y Orta MX",Miguel Hidalgo,Manufactura,252,8653634,2014-04-27,vnaranjo@proyectos.info,1-659-921-7762
1054,Despacho Bañuelos-Ojeda y Asociados,Azcapotzalco,Salud,107,3665048,2018-06-25,hduran@soto.com,571.892.9639x113
1055,Haro S.A. de C.V. del Norte,Tlalpan,Salud,191,14712940,2021-11-17,igiron@corporacin.com,638.119.5810
1056,Grupo Alcala-Caraballo y Asociados,Coyoacán,Tecnología,354,22426327,2019-09-22,ksaldivar@lovato.net,292-385-2543x19173
1057,"Laboratorios Cordero, Nieves y Palacios MX",Benito Juárez,Tecnología,216,24934793,2025-06-04,grijalvafederico@corporacin.com,935-445-7016
1058,"Despacho del Río, Salazar y Peralta Express",Azcapotzalco,Educación,137,6928696,2013-09-20,eric21@grupo.net,1-838-953-0129x567
1059,"Grupo León, de Jesús y Arguello Integral",Miguel Hidalgo,Finanzas,81,14655998,2012-10-06,arroyoeugenio@cadena.info,+81(1)1796129620
1060,Ruelas S.A. Integral,Iztapalapa,Finanzas,137,3029497,2019-03-01,kestevez@laboratorios.biz,1-935-755-9984x750
1061,Armendáriz S.A. y Asociados,Azcapotzalco,Logística,60,2197462,2021-07-02,jcotto@castellanos.info,03982618440
1062,Arce-Córdova MX,Miguel Hidalgo,Tecnología,57,8431579,2013-04-07,enriquezivan@despacho.com,1-989-635-5501x300
1063,"Peralta, Soria y Aguilar Integral",Coyoacán,Finanzas,256,7672169,2013-04-19,reina10@proyectos.com,(295)808-8679
1064,Proyectos Carrasco y Prado y Asociados,Benito Juárez,Alimentos,204,572322,2021-03-09,tespinal@industrias.net,711.002.7633
1065,"Valencia, Nevárez y Rosas y Asociados",Iztapalapa,Finanzas,156,14693775,2021-10-20,zacariasbadillo@club.org,485.720.7473
1066,Tafoya-Molina MX,Tlalpan,Logística,348,24605781,2019-09-25,maria-eugeniaramon@industrias.biz,1-327-314-4109x8395
1067,Ordóñez y Hinojosa S.A. y Asociados,Cuauhtémoc,Seguros,161,7804829,2017-02-03,omar86@mota.com,1-579-418-4254x060
1068,"Vera, Merino y Girón del Norte",Miguel Hidalgo,Logística,41,11022831,2024-02-09,francisco-javier01@industrias.org,08438689127
1069,Cervántez S.A. de C.V. del Norte,Benito Juárez,Manufactura,254,17372858,2020-09-02,ulloamicaela@valle-otero.net,754-266-8879
1070,Crespo-Vigil A.C. Latinoamérica,Cuauhtémoc,Tecnología,270,3188094,2016-03-17,aurora33@laboratorios.com,1-498-860-9635
1071,Laboratorios León-Rojo Integral,Benito Juárez,Manufactura,44,23156373,2014-08-25,cmelgar@jimenez.org,494-887-0842
1072,Despacho Camarillo-Peralta Integral,Coyoacán,Educación,492,19615134,2016-09-12,kmoreno@industrias.com,805.543.6857x2843
1073,Club Gallegos y Velásquez Integral,Miguel Hidalgo,Manufactura,30,21282994,2024-07-21,vanesa88@montes.com,836-042-4014
1074,Ocampo y Guevara S. R.L. de C.V. del Norte,Coyoacán,Manufactura,299,18041677,2017-12-11,estela66@proyectos.com,1-643-315-5452x35447
1075,Guillen-Perea e Hijos Express,Iztapalapa,Seguros,352,24531409,2016-06-16,garciavicente@galvez.info,703-361-2843
1076,Loera-Lemus S.A. Express,Cuauhtémoc,Construcción,212,4891546,2022-12-21,henriquezfrancisca@nevarez.com,1-910-258-8905x83747
1077,Cotto-Quiñónez S.A. MX,Tlalpan,Construcción,244,11109146,2020-03-25,brunoperes@mondragon.com,1-384-433-3499x17605
1078,Corporacin Enríquez-Fonseca del Norte,Benito Juárez,Finanzas,328,19390931,2015-04-09,cardonaeva@corona-corral.biz,240-834-8669
1079,"Sotelo, Collado y Carreón del Norte",Benito Juárez,Logística,119,17474673,2021-11-07,abreunancy@cabrera-ibarra.biz,+81(0)9522736728
1080,"Club Covarrubias, Méndez y Galindo Express",Cuauhtémoc,Transporte,461,2808253,2021-07-12,kcepeda@corral-rodarte.biz,+33(9)1493888992
1081,Sevilla S.C. Integral,Iztapalapa,Construcción,90,15203034,2012-10-12,gilberto83@corporacin.com,(875)350-3527x3071
1082,Córdova y Rosado A.C. Latinoamérica,Tlalpan,Construcción,323,22443803,2015-02-21,aida71@limon-samaniego.com,(071)517-4352
1083,Club Delgadillo y Jasso Latinoamérica,Benito Juárez,Logística,163,22759631,2024-03-05,citlali54@ordonez-aguilera.com,1-166-331-1143x2616
1084,"López, Ibarra y Anguiano del Norte",Cuauhtémoc,Construcción,69,4091531,2018-09-12,concepcion20@pedraza.info,01613935179
1085,Limón-Partida S.A. de C.V. MX,Miguel Hidalgo,Alimentos,149,9954171,2015-01-21,osevilla@club.info,704.809.3896x683
1086,Mata y Rojo e Hijos Latinoamérica,Cuauhtémoc,Transporte,114,23568575,2016-01-20,solisrolando@montez-villanueva.com,08976278959
1087,Feliciano-Torres e Hijos MX,Azcapotzalco,Construcción,268,16892408,2023-07-02,antonia19@laboratorios.com,(015)222-6864
1088,"Cardenas, Rosales y Cervántez Express",Azcapotzalco,Tecnología,57,21783054,2025-04-19,esmeralda20@iglesias.net,224.138.2186x69182
1089,Arteaga y Gastélum A.C. y Asociados,Azcapotzalco,Construcción,32,618973,2021-08-11,regaladoclara@cortes.com,04090065825
1090,Zepeda y Tamez S.A. de C.V. Express,Azcapotzalco,Alimentos,336,9289760,2022-11-11,gmanzanares@corporacin.com,1-808-613-0365x668
1091,"Padilla, Badillo y Llamas Integral",Tlalpan,Finanzas,292,24178270,2010-09-29,carlotasandoval@club.com,081-307-1912x63975
1092,"Caballero, Granado y Quintero y Asociados",Miguel Hidalgo,Tecnología,67,3024764,2020-12-10,lorenzo90@laboratorios.com,561.365.4599x96440
1093,Monroy y Tello S.A. de C.V. MX,Cuauhtémoc,Logística,28,12888832,2015-04-23,alarconhernan@giron.net,1-891-154-2058
1094,Nevárez y Razo S.C. Latinoamérica,Miguel Hidalgo,Alimentos,230,4776362,2013-05-20,armandotrejo@arellano-sotelo.org,(723)422-9695x027
1095,Granado S. R.L. de C.V. del Norte,Iztapalapa,Transporte,470,1838649,2013-11-18,itejeda@proyectos.com,1-969-252-5526
1096,Corporacin Grijalva-Posada Express,Cuauhtémoc,Seguros,351,3949181,2020-01-13,lnarvaez@morales.biz,1-620-810-1651
1097,Adame-Jaramillo A.C. Express,Azcapotzalco,Logística,462,14135762,2017-11-18,maria-jose26@grupo.biz,411.550.4433x6148
1098,Maldonado-Romo S.A. de C.V. Latinoamérica,Tlalpan,Alimentos,483,8443586,2020-10-05,godoyoctavio@carmona-briseno.net,045-366-8158x44052
1099,Badillo-Romo S. R.L. de C.V. Integral,Azcapotzalco,Alimentos,461,14334304,2016-07-05,zamudiovicente@samaniego-ledesma.com,1-598-727-3730x738
